Season,TeamA,TeamB,Round
1985,1116,1234,1
1985,1120,1345,1
1985,1207,1250,1
1985,1229,1425,1
1985,1242,1325,1
1985,1246,1449,1
1985,1256,1338,1
1985,1260,1233,1
1985,1314,1292,1
1985,1323,1333,1
1985,1326,1235,1
1985,1328,1299,1
1985,1374,1330,1
1985,1385,1380,1
1985,1396,1439,1
1985,1424,1361,1
1985,1104,1112,1
1985,1130,1403,1
1985,1181,1337,1
1985,1208,1455,1
1985,1210,1273,1
1985,1228,1318,1
1985,1268,1275,1
1985,1272,1335,1
1985,1276,1192,1
1985,1298,1261,1
1985,1301,1305,1
1985,1393,1177,1
1985,1412,1277,1
1985,1431,1409,1
1985,1433,1267,1
1985,1437,1173,1
1985,1120,1242,2
1985,1207,1396,2
1985,1246,1424,2
1985,1256,1326,2
1985,1260,1374,2
1985,1314,1323,2
1985,1328,1229,2
1985,1385,1116,2
1985,1104,1433,2
1985,1130,1181,2
1985,1210,1393,2
1985,1228,1208,2
1985,1268,1298,2
1985,1272,1412,2
1985,1301,1431,2
1985,1437,1276,2
1985,1207,1260,3
1985,1210,1228,3
1985,1272,1130,3
1985,1328,1256,3
1985,1301,1104,3
1985,1314,1120,3
1985,1385,1246,3
1985,1437,1268,3
1985,1207,1210,4
1985,1272,1328,4
1985,1385,1301,4
1985,1437,1314,4
1985,1207,1385,5
1985,1437,1272,5
1985,1437,1207,6
1986,1133,1431,1
1986,1177,1438,1
1986,1181,1290,1
1986,1207,1403,1
1986,1210,1265,1
1986,1242,1299,1
1986,1257,1180,1
1986,1261,1345,1
1986,1272,1123,1
1986,1277,1449,1
1986,1314,1428,1
1986,1328,1318,1
1986,1330,1452,1
1986,1396,1239,1
1986,1412,1281,1
1986,1437,1439,1
1986,1104,1462,1
1986,1114,1323,1
1986,1120,1112,1
1986,1156,1231,1
1986,1228,1193,1
1986,1235,1275,1
1986,1246,1172,1
1986,1268,1337,1
1986,1276,1103,1
1986,1298,1409,1
1986,1301,1234,1
1986,1385,1286,1
1986,1386,1350,1
1986,1393,1135,1
1986,1424,1419,1
1986,1443,1304,1
1986,1177,1328,2
1986,1181,1330,2
1986,1210,1437,2
1986,1242,1396,2
1986,1257,1133,2
1986,1261,1272,2
1986,1277,1207,2
1986,1314,1412,2
1986,1104,1228,2
1986,1120,1385,2
1986,1156,1386,2
1986,1235,1276,2
1986,1246,1443,2
1986,1298,1393,2
1986,1301,1114,2
1986,1424,1268,2
1986,1120,1424,3
1986,1246,1104,3
1986,1257,1314,3
1986,1261,1210,3
1986,1181,1177,3
1986,1242,1277,3
1986,1298,1156,3
1986,1301,1235,3
1986,1257,1120,4
1986,1261,1246,4
1986,1181,1298,4
1986,1242,1301,4
1986,1181,1242,5
1986,1257,1261,5
1986,1257,1181,6
1987,1104,1299,1
1987,1120,1360,1
1987,1122,1228,1
1987,1181,1401,1
1987,1231,1193,1
1987,1243,1208,1
1987,1276,1298,1
1987,1309,1140,1
1987,1314,1335,1
1987,1323,1292,1
1987,1344,1412,1
1987,1395,1267,1
1987,1417,1141,1
1987,1424,1226,1
1987,1461,1438,1
1987,1462,1281,1
1987,1177,1256,1
1987,1196,1301,1
1987,1207,1137,1
1987,1234,1365,1
1987,1242,1222,1
1987,1261,1210,1
1987,1283,1155,1
1987,1326,1246,1
1987,1328,1409,1
1987,1338,1265,1
1987,1345,1318,1
1987,1385,1455,1
1987,1393,1204,1
1987,1396,1380,1
1987,1431,1112,1
1987,1443,1452,1
